Temp_K,Mag_emu_e2
11.142857142857142,2.388888888888889
12.857142857142856,2.388888888888889
14.357142857142858,2.388888888888889
15.857142857142858,2.388888888888889
17.357142857142858,2.388888888888889
19.071428571428573,2.388888888888889
20.571428571428573,2.3777777777777778
22.07142857142857,2.3777777777777778
23.57142857142857,2.3777777777777778
25.285714285714285,2.3777777777777778
26.57142857142857,2.3722222222222222
27.857142857142858,2.3666666666666667
29.571428571428573,2.3666666666666667
30.857142857142854,2.3666666666666667
32.57142857142857,2.3555555555555556
34.07142857142857,2.3555555555555556
35.785714285714285,2.35
37.285714285714285,2.3444444444444446
38.78571428571429,2.338888888888889
40.285714285714285,2.3277777777777775
41.785714285714285,2.322222222222222
43.285714285714285,2.311111111111111
44.785714285714285,2.3055555555555554
46.285714285714285,2.3
47.57142857142857,2.283333333333333
49.285714285714285,2.272222222222222
51.0,2.2555555555555555
52.714285714285715,2.2222222222222223
54.0,2.188888888888889
55.714285714285715,2.1333333333333333
57.0,2.0444444444444443
58.714285714285715,1.911111111111111
60.0,1.7000000000000002
61.71428571428571,1.1444444444444446
63.0,0.7777777777777777
64.28571428571428,0.5666666666666664
66.0,0.4555555555555557
67.28571428571429,0.3944444444444444
69.0,0.3555555555555552
70.71428571428572,0.3333333333333335
72.0,0.31111111111111134
73.71428571428572,0.2999999999999998
75.21428571428572,0.2944444444444443
76.71428571428571,0.28888888888888875
78.0,0.28888888888888875
79.71428571428571,0.2777777777777777
81.21428571428572,0.2777777777777777
82.71428571428571,0.27222222222222214
84.42857142857143,0.2666666666666666
86.14285714285714,0.2666666666666666
87.42857142857143,0.2666666666666666
89.14285714285714,0.2666666666666666
90.42857142857143,0.26111111111111107
92.14285714285715,0.25555555555555554
93.42857142857143,0.25555555555555554
94.71428571428571,0.25555555555555554
96.42857142857143,0.25555555555555554
97.92857142857142,0.25555555555555554
99.42857142857143,0.25555555555555554
100.92857142857143,0.25555555555555554
102.42857142857143,0.25555555555555554
104.14285714285714,0.25555555555555554
105.85714285714286,0.25555555555555554
107.14285714285715,0.25
108.64285714285714,0.25555555555555554
110.14285714285714,0.25555555555555554
111.42857142857143,0.25555555555555554
113.14285714285714,0.25555555555555554
114.85714285714286,0.25555555555555554
116.14285714285714,0.24444444444444446
117.42857142857143,0.25555555555555554
119.14285714285714,0.25555555555555554
