Temp_K,Mag_emu_e2
11.571428571428571,2.2333333333333334
12.857142857142856,2.2222222222222223
14.142857142857142,2.216666666666667
15.857142857142858,2.2222222222222223
17.571428571428573,2.2222222222222223
19.28571428571429,2.2222222222222223
20.571428571428573,2.2222222222222223
22.285714285714285,2.2222222222222223
23.57142857142857,2.2222222222222223
25.285714285714285,2.2222222222222223
26.57142857142857,2.2222222222222223
27.857142857142858,2.2222222222222223
29.571428571428573,2.216666666666667
30.857142857142854,2.2222222222222223
32.57142857142857,2.216666666666667
33.857142857142854,2.2111111111111112
35.57142857142857,2.2111111111111112
37.285714285714285,2.2111111111111112
39.0,2.2
40.285714285714285,2.2
42.0,2.2
43.285714285714285,2.2
44.785714285714285,2.1944444444444446
46.285714285714285,2.188888888888889
47.57142857142857,2.177777777777778
49.285714285714285,2.177777777777778
50.142857142857146,2.1666666666666665
59.142857142857146,1.4666666666666668
60.214285714285715,1.4500000000000002
61.71428571428571,1.6888888888888889
63.0,1.2000000000000002
64.28571428571428,0.911111111111111
